   10.0000  0.000  0.6
   10.6200 85.152  0.6
   11.2500 80.548  0.6
   11.8800 76.437  0.6
   12.5000 72.744  0.6
   13.1200 69.410  0.6
   13.7500 66.384  0.6
   14.3800 63.627  0.6
   15.0000 61.105  0.6
   15.6200 58.923  0.6
   16.2500 56.906  0.6
   16.8800 55.037  0.6
   17.5000 53.300  0.6
   18.1200 51.683  0.6
   18.7500 50.173  0.6
   19.3800 48.759  0.6
   20.0000 47.434  0.6
   20.6200 46.298  0.6
   21.2500 45.221  0.6
   21.8800 44.199  0.6
   22.5000 43.229  0.6
   23.1200 42.305  0.6
   23.7500 41.426  0.6
   24.3800 40.587  0.6
   25.0000 39.787  0.6
   25.6200 39.104  0.6
   26.2500 38.443  0.6
   26.8800 37.806  0.6
   27.5000 37.189  0.6
   28.1200 36.594  0.6
   28.7500 36.018  0.6
   29.3800 35.461  0.6
   30.0000 34.922  0.6
   30.6200 34.458  0.6
   31.2500 34.005  0.6
   31.8800 33.561  0.6
   32.5000 33.128  0.6
   33.1200 32.706  0.6
   33.7500 32.294  0.6
   34.3800 31.891  0.6
   35.0000 31.499  0.6
   35.6200 31.157  0.6
   36.2500 30.820  0.6
   36.8800 30.489  0.6
   37.5000 30.164  0.6
   38.1200 29.844  0.6
   38.7500 29.531  0.6
   39.3800 29.225  0.6
   40.0000 28.925  0.6
   40.6200 28.659  0.6
   41.2500 28.398  0.6
   41.8800 28.140  0.6
   42.5000 27.887  0.6
   43.1200 27.638  0.6
   43.7500 27.393  0.6
   44.3800 27.152  0.6
   45.0000 26.915  0.6
   45.6200 26.703  0.6
   46.2500 26.494  0.6
   46.8800 26.287  0.6
   47.5000 26.084  0.6
   48.1200 25.883  0.6
   48.7500 25.686  0.6
   49.3800 25.491  0.6
   50.0000 25.300  0.6
   50.6200 25.127  0.6
   51.2500 24.955  0.6
   51.8800 24.787  0.6
   52.5000 24.620  0.6
   53.1200 24.455  0.6
   53.7500 24.293  0.6
   54.3800 24.133  0.6
   55.0000 23.975  0.6
   55.6200 23.831  0.6
   56.2500 23.688  0.6
   56.8800 23.548  0.6
   57.5000 23.409  0.6
   58.1200 23.271  0.6
   58.7500 23.136  0.6
   59.3800 23.002  0.6
   60.0000 22.871  0.6
   61.2500 22.631  1.2
   61.8800 22.513  0.6
   62.5000 22.396  0.6
   63.1200 22.280  0.6
   63.7500 22.166  0.6
   64.3800 22.054  0.6
   65.0000 21.942  0.6
   66.2500 21.737  1.2
   67.5000 21.537  1.2
   68.7500 21.341  1.2
   69.3800 21.245  0.6
   70.0000 21.149  0.6
   71.2500 20.973  1.2
   72.5000 20.800  1.2
   73.7500 20.631  1.2
   74.3800 20.547  0.6
   75.0000 20.465  0.6
   76.2500 20.312  1.2
   77.5000 20.162  1.2
   78.7500 20.015  1.2
   80.0000 19.871  1.2
   81.2500 19.737  1.2
   82.5000 19.606  1.2
   83.7500 19.477  1.2
   85.0000 19.351  1.2
