# ADU, ADU Uncertainty, Sky ADU
1.033812344228956098e-01,3.650681999015383816e+00,5.596379962812790154e+02
6.040412297994796065e-02,3.649357762392971605e+00,5.593403276004241889e+02
1.569642168320914410e-01,3.651034255277914031e+00,5.592990517205257675e+02
2.137779869485025575e-01,3.651522092566926947e+00,5.590469138402800127e+02
1.073856951965287271e-01,3.650122867329768539e+00,5.592921654643554348e+02
8.429888819309548642e-02,3.650353028358335639e+00,5.596267640421513079e+02
1.325973735998318970e-01,3.651219102347795342e+00,5.596621992036044730e+02
1.404048211702583204e-01,3.651780515109788183e+00,5.598876982811510743e+02
2.421076231519719291e-01,3.652649588815522819e+00,5.593806334220629424e+02
8.220567011491533571e-02,3.650617519193594340e+00,5.598045262480690099e+02
1.029611184370198829e-01,3.650899147094590624e+00,5.597606836198327755e+02
1.600514497992917284e-01,3.651404822770331293e+00,5.594675966200559287e+02
1.929180164953376575e-01,3.651684724748148980e+00,5.593364665514393437e+02
2.003592898751954954e-01,3.651689638682243277e+00,5.592668853772230477e+02
1.794463197189163917e-01,3.652019480435563903e+00,5.596189389008654871e+02
5.834205745854557229e-02,3.649617595666816872e+00,5.594926823856281999e+02
1.055950604848867463e-01,3.650812513629436928e+00,5.596922372002311477e+02
8.394515968644296333e-02,3.650321480776311578e+00,5.596387633833820701e+02
1.846488197012282895e-01,3.651889852791650792e+00,5.595159243421958308e+02
2.199289365515263717e-01,3.653054080282422511e+00,5.598016052844554906e+02
2.451349131835715844e-01,3.653272141386747940e+00,5.597175093751739041e+02
2.169094712355207899e-01,3.652576840289319282e+00,5.596032580373853307e+02
2.435645253452495829e-01,3.652692044699788809e+00,5.594030763341769443e+02
2.640382756431688960e-01,3.653788738487674603e+00,5.597816150396973853e+02
2.830080489539406607e-01,3.654108746145761533e+00,5.597790682683596515e+02
2.876396444059442503e-01,3.654103957590458585e+00,5.597348727924113518e+02
3.146257858450693945e-01,3.653715797511963181e+00,5.592608762815530099e+02
9.528940304133480532e-02,3.650843506703569830e+00,5.598000075864517839e+02
2.943406936415726149e-01,3.654277615314865280e+00,5.597583129064112200e+02
3.470233671558891619e-01,3.654810808169440595e+00,5.595683809090577370e+02
2.435647994877130629e-01,3.653130150287615674e+00,5.596346449521153090e+02
2.835393714355620154e-01,3.653368543875390895e+00,5.593866062361865943e+02
2.602103502500894283e-01,3.653141037355004617e+00,5.594715974488542543e+02
2.279507021508901943e-01,3.652737730339175481e+00,5.595557591464237248e+02
3.483503344016176673e-01,3.654873643183216281e+00,5.595617950217857697e+02
4.206120933267112338e-01,3.655604806658974582e+00,5.592792992619566803e+02
4.636057560378407660e-01,3.656723572482238449e+00,5.594775353808691989e+02
3.005590979039747257e-01,3.653922931011485797e+00,5.595116298995527586e+02
3.770638130922898124e-01,3.654974521255645481e+00,5.593571210945965504e+02
2.925786425175126992e-01,3.653910825597355139e+00,5.595850349534902080e+02
2.625126268338999758e-01,3.653718501709199984e+00,5.597807887307811825e+02
4.159055528042359118e-01,3.655831445469259755e+00,5.594439297273539751e+02
2.350870213202854719e-01,3.653438202363434417e+00,5.598864912979844348e+02
2.659864585594962083e-01,3.652909570927594718e+00,5.593066156961187971e+02
1.503376821897050020e-01,3.651593919117565701e+00,5.596872980801811082e+02
1.503772290977597736e-01,3.651861114911572948e+00,5.598173820281617736e+02
2.121382496299926146e-01,3.652483096622667347e+00,5.595974338163681523e+02
3.059457001379869978e-01,3.654209242593133400e+00,5.596221772780968422e+02
2.500128559328427258e-01,3.653735550088322181e+00,5.598945107152197806e+02
3.039032635898430978e-01,3.654242939339794383e+00,5.596447590066017028e+02
3.464727778313962947e-01,3.654794086877104498e+00,5.595536171236043401e+02
3.063796809528995801e-01,3.654446786896335286e+00,5.597451090986244253e+02
3.420801783915803918e-01,3.655558070578068364e+00,5.599839023511917731e+02
2.897548198350736182e-01,3.653322929195688573e+00,5.593185901099787998e+02
4.250282053216268841e-01,3.656675721618275698e+00,5.598216475282223428e+02
3.442118952833839174e-01,3.655363155896681704e+00,5.598791465607249620e+02
4.139371507518339599e-01,3.656647290660449912e+00,5.599076306804042815e+02
5.172784619794792427e-01,3.657676538507977249e+00,5.594739867266584952e+02
4.362718544871510007e-01,3.656336365992780557e+00,5.595384816046826018e+02
4.337569127523825396e-01,3.655794678572104939e+00,5.592549824247505512e+02
3.031998835809071036e-01,3.654786629233650608e+00,5.599469436050691229e+02
4.286519687903330156e-01,3.655751346962823778e+00,5.592735885558870450e+02
4.784251880694827541e-01,3.657243570919108677e+00,5.596254681376282178e+02
3.700053905633877704e-01,3.655676017631123376e+00,5.598080859110496021e+02
5.757168459666339722e-01,3.659294347495622990e+00,5.597879354815405577e+02
5.340267068624235947e-01,3.658233929023953390e+00,5.596233507090194053e+02
4.836851194895086525e-01,3.657533486940792500e+00,5.597274104433911361e+02
6.500941394804722329e-01,3.659899552147451995e+00,5.594301619886060735e+02
5.568551544373535611e-01,3.658516624634970515e+00,5.595768316198258390e+02
5.594346584799608779e-01,3.659489859235812492e+00,5.600356739500674621e+02
6.834694773233405130e-01,3.660637502976713975e+00,5.594820938866362212e+02
6.522042484837295984e-01,3.660177449940785976e+00,5.595465916884450053e+02
7.929071051426500594e-01,3.661579328592747817e+00,5.589349012923842110e+02
5.970807583507607985e-01,3.659764131205080151e+00,5.598495418767768115e+02
5.609223866810204573e-01,3.658794802135348689e+00,5.596659089594714942e+02
7.630869281414295324e-01,3.662700987153678422e+00,5.598495531012238189e+02
5.893657647461902904e-01,3.659163521639420935e+00,5.595782305784169921e+02
5.769637781316135916e-01,3.659219496313082853e+00,5.597524860739412134e+02
7.157894541695443147e-01,3.661110921403223362e+00,5.594740330150013961e+02
7.125124388233099459e-01,3.661493230395749698e+00,5.596698293574989975e+02
7.518004512058313882e-01,3.662069190555877984e+00,5.596192578379674387e+02
6.964312851327167930e-01,3.661156335561010167e+00,5.596733220427839797e+02
7.669145505426862020e-01,3.662505888797018994e+00,5.597238415273774308e+02
9.989042125155361829e-01,3.666497666001528266e+00,5.596506580593114677e+02
7.990835298650238450e-01,3.663143359737419225e+00,5.597505993786567160e+02
8.747010929139625857e-01,3.665205883361411843e+00,5.601261635144038564e+02
9.340669511843023853e-01,3.664937811059416628e+00,5.594781141246648986e+02
9.834432263029534438e-01,3.666270428883001031e+00,5.597080960498977902e+02
1.053429175228121961e+00,3.667488090873449291e+00,5.596957722973206728e+02
1.077709257629378081e+00,3.667610659538414808e+00,5.595072732655346499e+02
1.150707572759666952e+00,3.668783909079927685e+00,5.594766708459018218e+02
1.003945707046050018e+00,3.666955480721763472e+00,5.598825541776978980e+02
9.943938813584122238e-01,3.666365819154066230e+00,5.596421615884314633e+02
1.100868083323153890e+00,3.668138690910842659e+00,5.595879832543967041e+02
1.042489737458359045e+00,3.667970323446591241e+00,5.600487890323205420e+02
1.182376009042123588e+00,3.670095337372935695e+00,5.598762849528487777e+02
1.260832541957620290e+00,3.671237102461462065e+00,5.597661337126548915e+02
1.175201116468804541e+00,3.670244293319867346e+00,5.600424210187834433e+02
1.252992523995877239e+00,3.670727854844022531e+00,5.595533573076895664e+02
1.273058109414749062e+00,3.671746817618426029e+00,5.598987657971539420e+02
1.423676735261460546e+00,3.674184697093370922e+00,5.597900237574517632e+02
1.474376356159993628e+00,3.675476936117136884e+00,5.600337592574018117e+02
1.449874056950208212e+00,3.674905812886794632e+00,5.599430463871706252e+02
1.542220416114457926e+00,3.676188324456723944e+00,5.597809319420116481e+02
1.556183650038918787e+00,3.676705817282675870e+00,5.599206897423263172e+02
1.677132735215646875e+00,3.679466187766875507e+00,5.602766481018894638e+02
1.649196611574080817e+00,3.677874989812632833e+00,5.596774507912581385e+02
1.704215576161391077e+00,3.678837525202317327e+00,5.596824444351274224e+02
1.578937737190467816e+00,3.676969693246596282e+00,5.598446057357735981e+02
1.807958163001864627e+00,3.681374314013068361e+00,5.600693395485473047e+02
1.774335758674568719e+00,3.680331738299400524e+00,5.598124045686290629e+02
1.783836466694457945e+00,3.680321702591771604e+00,5.597157444043174337e+02
1.853561960276217890e+00,3.681369700346662110e+00,5.596275060649628585e+02
1.972800324144366346e+00,3.683427471532015662e+00,5.596078491817994518e+02
1.655666444557996053e+00,3.678809527236443611e+00,5.601460924282670248e+02
1.805593138213898552e+00,3.680539995361923999e+00,5.596260586970155373e+02
1.623160227622154395e+00,3.677509690959198441e+00,5.597117115994276446e+02
1.992756642681605905e+00,3.684360542174832887e+00,5.599285524866403421e+02
1.990532873596153163e+00,3.684361216757392032e+00,5.599650282928356546e+02
1.926749196999450797e+00,3.682807331372389470e+00,5.597394246937514026e+02
2.212763151106452497e+00,3.688270186973736209e+00,5.599914375765517889e+02
2.333363844453173463e+00,3.689902899157129657e+00,5.597305344337667066e+02
2.314863180606667292e+00,3.690052678319593937e+00,5.599771481670965159e+02
2.611875373023758939e+00,3.695062383697945485e+00,5.599179003829243584e+02
2.626773470680113576e+00,3.695238850462163605e+00,5.598405776855564682e+02
2.424693918555373529e+00,3.691856657700555822e+00,5.599120419757261971e+02
2.640390016671213758e+00,3.695444427688083344e+00,5.598327434187896188e+02
2.441490950217799938e+00,3.691683595678712404e+00,5.596858935895655804e+02
2.627975355028286053e+00,3.695849297933254896e+00,5.601809942141380816e+02
2.528031274020227759e+00,3.693650966564597127e+00,5.599110948330960582e+02
2.643533179649413256e+00,3.695336969491524570e+00,5.597620603167216586e+02
2.803359954260278286e+00,3.698426941325300810e+00,5.599143216419178088e+02
2.859348707530177780e+00,3.700369577776524199e+00,5.604453464248786076e+02
2.992150381324058195e+00,3.702035145890235857e+00,5.601006749219533276e+02
3.233864946924311923e+00,3.705547736130013536e+00,5.597369323289620979e+02
3.162321094332522620e+00,3.704800958874660211e+00,5.600034505684715214e+02
3.216815251718515345e+00,3.706427111661570351e+00,5.603942744313083040e+02
3.046556947685551631e+00,3.703284437598342915e+00,5.602554960563264785e+02
3.145781194417152093e+00,3.704303522366432677e+00,5.599007472144367057e+02
3.061449617244250909e+00,3.702827368253601925e+00,5.599187223049227669e+02
