# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
9.613311085213438912e-14,4.841120021722705454e-12,6.242389833252157210e-10,5.558922156632538054e-13
3.329638127274117681e-13,3.961235798817403335e-12,5.092398821183450020e-10,4.544033990108525427e-13
9.759577501903818503e-14,3.266563939835201974e-12,4.212741126842009752e-10,3.748978333491889673e-13
1.376935248622296785e-13,2.558231612795100942e-12,3.294883443843385549e-10,2.935262531368686789e-13
1.095203554830005514e-13,2.067651107980670264e-12,2.663503079218057506e-10,2.372229264259372934e-13
1.594382922179296835e-13,1.600312306787068008e-12,2.057999771094351767e-10,1.834186048520926520e-13
1.452387846581116777e-13,1.246454740065935579e-12,1.603608382703883155e-10,1.427251130335478474e-13
1.824616984938246515e-13,9.702802455909313688e-13,1.245927322995248721e-10,1.108851454919923941e-13
2.068389598611570128e-13,7.237784815490538657e-13,9.262692988214716374e-11,8.253067502007767238e-14
2.002707131877145698e-13,5.610734704902986814e-13,7.171721769234402208e-11,6.382971217795859442e-14
2.169526270336274489e-13,4.185897737857704090e-13,5.325105401494307396e-11,4.742403688400122908e-14
2.010034626178221759e-13,3.155569948580871921e-13,4.002400830892498623e-11,3.563256164965132331e-14
2.279076612555700276e-13,2.452359469396390414e-13,3.085400155845514304e-11,2.747861540058494671e-14
2.474840862560001369e-13,1.841572420899220644e-13,2.291051904356953574e-11,2.040726907876036914e-14
2.618385134539447012e-13,1.475949396426515376e-13,1.813488433295043115e-11,1.617692578394684301e-14
2.598965468971239099e-13,1.201606484946143733e-13,1.461699486445540032e-11,1.303084680033257874e-14
2.448680094149980072e-13,9.823479174563473900e-14,1.184767661227504799e-11,1.055883836351797147e-14
2.404016588663401802e-13,8.588850161670550440e-14,1.027894698636284862e-11,9.155223196582647371e-15
2.241240713089540677e-13,7.691682667552549155e-14,9.177058864701491748e-12,8.173884508336146593e-15
2.037958048489779861e-13,7.062668018836312392e-14,8.427552083447638509e-12,7.513491356629522650e-15
1.987541149091029116e-13,6.759293913540971618e-14,8.061255403490162674e-12,7.176924232046610381e-15
1.938358411298521548e-13,6.575745380706255152e-14,7.841713519834321830e-12,6.980292262125121918e-15
1.863890642158877718e-13,6.478691082826871862e-14,7.747272858151725992e-12,6.887121227628744422e-15
1.918936139458878995e-13,6.467984871372960092e-14,7.708675156587442895e-12,6.862712499380236347e-15
1.915082654487050037e-13,6.461944173774047162e-14,7.705204061737643455e-12,6.855500454167695921e-15
2.017350880917830020e-13,6.487231209882930757e-14,7.706618507453467293e-12,6.855266067198078657e-15
2.052585968611565121e-13,6.496387809530650558e-14,7.701954749200102442e-12,6.858292918071784064e-15
2.101252748289589594e-13,6.510107830124922109e-14,7.702498480764945083e-12,6.861241902690306672e-15
2.199582921698706652e-13,6.533834949284520798e-14,7.703003383277565011e-12,6.860722203467466885e-15
2.201199469664668894e-13,6.530704149115285001e-14,7.706213695534182991e-12,6.853279287081995757e-15
2.270297371922228688e-13,6.531553994555592638e-14,7.681859452896156659e-12,6.836897708864201167e-15
2.337635223313046317e-13,6.523207851909013553e-14,7.657090463488255766e-12,6.805833815463717385e-15
2.396538268426495554e-13,6.493014340335262117e-14,7.599275926737797797e-12,6.755617489479281960e-15
2.489840509574156972e-13,6.457418298759108611e-14,7.520473101732586677e-12,6.691417762341600066e-15
2.461659999324452978e-13,6.377431956167320649e-14,7.426732675338698684e-12,6.607706395599580929e-15
2.405484246020842912e-13,6.255923534301552112e-14,7.287855630179601741e-12,6.484433504766093766e-15
2.390146758465472927e-13,6.129892517605186713e-14,7.129803693679097217e-12,6.345395822238350307e-15
2.628442646523859578e-13,6.046168491134491621e-14,6.950233965191978349e-12,6.185619439198593664e-15
2.705746681572077049e-13,5.900815087776278814e-14,6.739780550779738189e-12,5.999874780599356139e-15
2.852967012021298303e-13,5.716014328638300073e-14,6.459891203862772446e-12,5.750852894187108250e-15
2.859926313137599343e-13,5.505945449264721813e-14,6.191669393965948529e-12,5.509645333782895652e-15
2.947300930758526989e-13,5.292969415297879682e-14,5.894090340981646590e-12,5.245629279241126987e-15
2.898391927745065640e-13,5.027403181175887095e-14,5.566790240310727094e-12,4.958354596816361463e-15
2.862239695161330123e-13,4.708510733548594710e-14,5.174066783841917887e-12,4.605470271008319861e-15
2.749116035126921450e-13,4.399329773797393382e-14,4.813086137744286301e-12,4.284314957922159593e-15
2.619803774317991971e-13,4.078961587793815929e-14,4.446161589826220318e-12,3.953289905697113235e-15
2.500253559305849346e-13,3.757865841758216127e-14,4.070715973486778027e-12,3.621124979442174218e-15
2.373417378051976067e-13,3.411850547137951886e-14,3.662676775777573258e-12,3.264115311084387067e-15
2.234579040486056839e-13,3.128448607089942960e-14,3.346132641623850690e-12,2.977426657729699884e-15
2.124405413150036188e-13,2.891090627354093404e-14,3.075444501243383568e-12,2.737432339314107101e-15
1.988663733042813269e-13,2.687639053224782403e-14,2.854416625989684787e-12,2.541808350900624826e-15
1.890816670897063310e-13,2.526431101162188179e-14,2.681400484220811839e-12,2.382745739075256120e-15
1.919292572486766215e-13,2.425027932686436883e-14,2.543209727323267075e-12,2.263276353311158684e-15
1.853751850354939101e-13,2.340262748012953123e-14,2.454107940290087428e-12,2.183724911903375244e-15
1.841865819211222072e-13,2.286612982637326159e-14,2.390388051812086111e-12,2.126255082764767811e-15
1.877935205928421705e-13,2.258305919704617180e-14,2.344236895952138705e-12,2.086562115511366994e-15
1.934633289909124393e-13,2.245483906357735288e-14,2.312443222835831403e-12,2.059487645344366080e-15
2.001233170724125963e-13,2.247339649499673662e-14,2.298603539691361328e-12,2.045949958516667420e-15
1.990335110307364355e-13,2.240293240874267416e-14,2.293339701887712419e-12,2.040322216330415875e-15
2.027833689979933785e-13,2.246874876520298804e-14,2.292827942542499937e-12,2.038856472664801332e-15
2.063276870032755362e-13,2.253688172237392620e-14,2.291184555979466241e-12,2.038787755745997510e-15
2.101205820810459296e-13,2.259696918276709943e-14,2.289547679529818289e-12,2.036771971417081530e-15
2.154819436524181766e-13,2.264301083628850346e-14,2.282936961703218909e-12,2.029501528851057682e-15
2.166562322439371525e-13,2.252912547438813122e-14,2.264995852960688398e-12,2.014554789384540477e-15
2.179676534879689758e-13,2.233272711478877780e-14,2.238672094134993999e-12,1.989444314698923990e-15
2.180999705179846925e-13,2.200686621532464079e-14,2.195967898396612954e-12,1.953740391040984400e-15
2.225091901463638235e-13,2.166687834833086445e-14,2.141686654933651737e-12,1.907019367634402264e-15
2.151841535952727995e-13,2.102569546644258450e-14,2.079999526522403452e-12,1.852217426592955129e-15
2.101745517873505553e-13,2.044675424665810714e-14,2.022571462164096786e-12,1.798540143050381753e-15
2.078138721970846259e-13,1.991004565480152196e-14,1.962243201748959261e-12,1.744395086042930523e-15
2.080444807487453378e-13,1.942978987972874125e-14,1.900069708003036474e-12,1.691779403702256717e-15
2.038088043100384211e-13,1.890034236281472685e-14,1.845286799641996672e-12,1.642476735298059669e-15
1.987632483074850553e-13,1.837301400811736137e-14,1.794008912823884755e-12,1.594724919515404234e-15
1.981591844549446227e-13,1.798943467559705339e-14,1.747576341198936844e-12,1.554105405147729748e-15
1.989169054571322932e-13,1.769177524913036189e-14,1.709310857415141653e-12,1.519836832479864562e-15
1.973007583338418252e-13,1.738923209738030492e-14,1.677742196259983979e-12,1.489525232351819222e-15
1.965487763209571332e-13,1.712924822919858037e-14,1.647132886741944425e-12,1.462810137717138869e-15
1.971062212041858515e-13,1.692580766993536314e-14,1.621115378936877085e-12,1.439366464084938313e-15
1.939154551859711562e-13,1.666342892628992215e-14,1.594328367961615290e-12,1.417958277034695902e-15
1.973407831638104752e-13,1.655493010975919880e-14,1.571994073201638443e-12,1.399444630390991681e-15
1.983081478290886480e-13,1.644092290231699966e-14,1.557267203248668943e-12,1.384621975425799353e-15
1.971029148492833654e-13,1.630070915279638010e-14,1.542410953728056402e-12,1.371969018428542598e-15
1.923451418031346614e-13,1.611558078554784942e-14,1.531459219548575605e-12,1.361279459137208237e-15
1.789070487130189781e-13,1.578151879651229243e-14,1.522556906283835603e-12,1.352359352429453419e-15
1.679561560688173058e-13,1.550169383754971417e-14,1.512899439322674531e-12,1.345024943578374248e-15
1.848393717864291097e-13,1.577020191845977137e-14,1.507635265558178528e-12,1.338722357847274476e-15
2.009181128618459656e-13,1.602510911518919404e-14,1.501160780109824910e-12,1.334091937691914669e-15
2.101813064960180654e-13,1.616429657744585161e-14,1.497848997203122567e-12,1.330662302193313157e-15
