# ADU, ADU Uncertainty, Sky ADU
7.257977870305989260e-03,1.762780718160678495e+00,2.283270169095679876e+02
2.540563225368795003e-02,1.763404636833544314e+00,2.283163445174923254e+02
3.752317651388746567e-03,1.762522063703805930e+00,2.282922849278846797e+02
8.834147818567755122e-04,1.762487570291627836e+00,2.283088936467738961e+02
8.314600461511600536e-04,1.762837167511913883e+00,2.283972771929879571e+02
3.658966227230877385e-03,1.762371605442663025e+00,2.282512774064639416e+02
1.072290697371516485e-02,1.762676437840966948e+00,2.282667196451598386e+02
7.817680429882364543e-03,1.762593759182943476e+00,2.282713768501009213e+02
3.212750494410205465e-02,1.763489654968297016e+00,2.282729107967554114e+02
2.900118785482470526e-02,1.763546574037473613e+00,2.283139587457716289e+02
3.536420477415533510e-03,1.762410798130728651e+00,2.282609341165832575e+02
1.001211242022700433e-02,1.763062137374797667e+00,2.283817306756765788e+02
1.523022551407677595e-02,1.763137287391983499e+00,2.283426515959306471e+02
1.372978835172213551e-02,1.762751117318176020e+00,2.282514481177425409e+02
2.131920395183680220e-02,1.763122036227632750e+00,2.282728687261252389e+02
2.384994315647134475e-02,1.763670960406682475e+00,2.283929297477392879e+02
1.148734781135691413e-02,1.762958743341551004e+00,2.283237586520400271e+02
1.846926963601095220e-02,1.762877668095387040e+00,2.282430549727552886e+02
2.820033583128317770e-02,1.763643364168519412e+00,2.283478906846048631e+02
5.907875842544513256e-02,1.764306889441984660e+00,2.282300258517211660e+02
6.852299177186299550e-02,1.765002492011141344e+00,2.283240651875090350e+02
2.227792111047829926e-02,1.763925068199082569e+00,2.284765182593665998e+02
2.597795068873279614e-02,1.763249054229027779e+00,2.282703581940610036e+02
1.974684176981972294e-02,1.763093862520571209e+00,2.282863765094960513e+02
1.766392264064572254e-02,1.763078400629512155e+00,2.283060138923056286e+02
3.824333872313370741e-02,1.763780058521244198e+00,2.282900464045573301e+02
2.802095864560726415e-02,1.762988642083625157e+00,2.281823545511793156e+02
2.434238215723385362e-02,1.763355896373095311e+00,2.283089595094936897e+02
1.510160479439566494e-02,1.762850372807825972e+00,2.282744907725010250e+02
3.866399625947825654e-03,1.763166568473623297e+00,2.284534093684829372e+02
2.694841051947336526e-03,1.762016415216358212e+00,2.281620804721963225e+02
6.879497410871533020e-03,1.763036704186557335e+00,2.283942963142076792e+02
7.834564793595615029e-03,1.762466608792933487e+00,2.282318358130230251e+02
3.864029222858218759e-02,1.763558354338281342e+00,2.282266777351105418e+02
1.789153701037735078e-02,1.763243864664122196e+00,2.283467398284434182e+02
1.430074974472125100e-03,1.762777472377964116e+00,2.283739471565464214e+02
4.550051104371639205e-02,1.763848444733622234e+00,2.282367204519337349e+02
1.759767119845125419e-02,1.762986179499033357e+00,2.282865943179984924e+02
4.931816928029625346e-02,1.763754300510063988e+00,2.281810810739718818e+02
3.894290461573927421e-03,1.762847010742593978e+00,2.283716621214730083e+02
5.392000607969377191e-02,1.764360432475933882e+00,2.283018726539004604e+02
9.640287334609927428e-03,1.762994096361846452e+00,2.283577209762614189e+02
8.837233834076514347e-03,1.762974023105799093e+00,2.283598504037159671e+02
3.125122246677469046e-02,1.763764200292566642e+00,2.283548474882441042e+02
4.511148535253886593e-02,1.763410714857999162e+00,2.281278238686075497e+02
1.999032984835076576e-02,1.763151543526084719e+00,2.283013080031819584e+02
9.095300385526784714e-03,1.762797153282784635e+00,2.283081611828959581e+02
1.270816083472157271e-02,1.763374386343961042e+00,2.284175602926853799e+02
2.274749307208275700e-02,1.763314604308952926e+00,2.283137803963691113e+02
3.970735196132867822e-02,1.763509816456130919e+00,2.282079477250454431e+02
2.809450519121567402e-02,1.763003617039879733e+00,2.281881709669787313e+02
2.210410597956811996e-03,1.762282574492976206e+00,2.282420192044945111e+02
2.513733076449930701e-02,1.763255384179026386e+00,2.282796424301327249e+02
5.425258513803789089e-03,1.762911847137892396e+00,2.283756582674182027e+02
2.528585570981271499e-02,1.763738038366400973e+00,2.283989246130669812e+02
2.266712778220509455e-03,1.762599961844646623e+00,2.283255841158963619e+02
8.383494731006909534e-03,1.762809615116182504e+00,2.283240255118498965e+02
1.250359388065412983e-02,1.763104776915902727e+00,2.283624238477768529e+02
9.272423812358444525e-03,1.762599642128898969e+00,2.282556142256250951e+02
2.168840971327798753e-02,1.763057878069805184e+00,2.282582384409392944e+02
5.271386881477316787e-03,1.762841821940518416e+00,2.283556397649419978e+02
1.359659618406934035e-02,1.763118724938521398e+00,2.283571746985464586e+02
1.147868015168857295e-02,1.762500703009727498e+00,2.282112164131391978e+02
2.807966815782501728e-03,1.763110813883143946e+00,2.284589646132732241e+02
2.547572156270783150e-02,1.763661070976122902e+00,2.283796908808222099e+02
4.609507733523993817e-03,1.762672961120282711e+00,2.283196314114792358e+02
1.943412937501465265e-02,1.763316440459840706e+00,2.283512603245905552e+02
3.221640132760366509e-02,1.763389904454988777e+00,2.282436186607164359e+02
4.121371985389352989e-03,1.762915250250922217e+00,2.283947670782602017e+02
1.432404206699967354e-02,1.762892811542261962e+00,2.282820782221336628e+02
3.245391599628343060e-02,1.763626091905333926e+00,2.283016597322250902e+02
1.978929344932501069e-02,1.763414582689266652e+00,2.283742613853536909e+02
4.275587515803278699e-02,1.764050820466546377e+00,2.283137307076414402e+02
7.808498928653677916e-03,1.763105774556119165e+00,2.283936352016712021e+02
5.394621381349586076e-03,1.762483338092579510e+00,2.282576456992170790e+02
9.226047801852398089e-03,1.762608516066550335e+00,2.282669963160849704e+02
1.385578325482626078e-02,1.762944202807095628e+00,2.283043533532698461e+02
1.277473861531348972e-03,1.762633176597355300e+00,2.283430586094755483e+02
8.722270599060621271e-03,1.763009870034014881e+00,2.283667168239986438e+02
2.799026103388783590e-02,1.763700571646989124e+00,2.283658562884622256e+02
1.183986522447083925e-02,1.763322174301415135e+00,2.284241849016752894e+02
1.799259163803743761e-02,1.763484646437493808e+00,2.284084813716564497e+02
1.258080015940253940e-02,1.762842374562871184e+00,2.282907437975732421e+02
6.731350957815830649e-03,1.762634712888450084e+00,2.282866937098400513e+02
3.927056957534770520e-02,1.763752593511275224e+00,2.282669608861301640e+02
1.639346427667164041e-02,1.762906406485227784e+00,2.282728209272668494e+02
4.171540897744575459e-04,1.763070258484335406e+00,2.284646004045034431e+02
5.415075619556183190e-02,1.764184784659796446e+00,2.282549913790389269e+02
4.748170014871466726e-02,1.764251264952277465e+00,2.283252807173184635e+02
2.470290115857683849e-02,1.763515590827041013e+00,2.283464721714051393e+02
2.070501399384747782e-02,1.763070235072908831e+00,2.282740130719905949e+02
4.844207184569091634e-02,1.764513510285938169e+00,2.283843159814410342e+02
8.103374062481694118e-02,1.765718200147939454e+00,2.283906012305057516e+02
7.175765984508745976e-02,1.764979672878937089e+00,2.282893577949066639e+02
6.153585364854167322e-02,1.764420680260902596e+00,2.282300848949808199e+02
8.033641455373896623e-02,1.765598760378691567e+00,2.283653313603803383e+02
4.446185539655934243e-02,1.764309476646187758e+00,2.283712715111814759e+02
3.847207931602376202e-02,1.764076299764578026e+00,2.283635697492180725e+02
3.782693889022932521e-02,1.764206684966651562e+00,2.284113081378562526e+02
6.190587264737452272e-02,1.764622079321381376e+00,2.282858649204711696e+02
3.471377253422738840e-02,1.763858868702697702e+00,2.283445001976087099e+02
4.219259707807940935e-02,1.764442102837381343e+00,2.284236676472293368e+02
2.465664451395777404e-02,1.763323887484909980e+00,2.283021693061428721e+02
6.406856893620965776e-02,1.764739659154692442e+00,2.282853207682150298e+02
8.726744750587606125e-02,1.765151796657455696e+00,2.281824102092153623e+02
4.383326828597462754e-02,1.763970107598201276e+00,2.282825121328304192e+02
3.441119482518692485e-02,1.764164573651316958e+00,2.284190839630059031e+02
5.412305016286179937e-02,1.764895821929423514e+00,2.284335487648537537e+02
5.730963128843834242e-02,1.765369820274467427e+00,2.285255850360989882e+02
9.883412821359138789e-02,1.766103734862630281e+00,2.283186230689387344e+02
3.355813755432209694e-02,1.764387983343228994e+00,2.284916366274740653e+02
