# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Sensitivity Curve
1.839404701132857718e-14,2.719828282108796190e-12,1.597931293460277076e-10,7.001604572382702788e-13
3.108860103785566401e-14,3.575636665814179895e-12,2.100550368010739653e-10,9.203313366399526319e-13
4.485332637890131568e-14,4.555070173854740974e-12,2.675593370337010732e-10,1.172409816898796392e-12
8.222579742459997689e-14,5.707944250023837625e-12,3.351781837056101534e-10,1.468784460760970780e-12
8.408198385996766234e-14,7.085999286232110129e-12,4.161742129730032980e-10,1.823615988490499876e-12
2.888853398036243361e-14,8.277846456834118040e-12,4.865014633940683767e-10,2.131055704839157995e-12
9.915465356881490906e-14,9.440628510671913763e-12,5.545307870316897211e-10,2.429688700596967096e-12
9.502583723377366448e-14,1.053046976417719990e-11,6.186538222747299202e-10,2.710194741488855245e-12
1.518275398200014511e-14,1.151427258072254962e-11,6.769123726192900568e-10,2.964147441989030204e-12
5.754361684447872211e-14,1.237101509240697102e-11,7.270852523268284102e-10,3.184279467257616062e-12
6.941194413098196738e-14,1.314348349207652461e-11,7.725529285527352370e-10,3.382552967281121767e-12
7.820190712201874676e-14,1.362929307421169903e-11,8.008529629265935790e-10,3.508476382784708966e-12
8.175923971535771265e-14,1.391649900657493451e-11,8.176915186894787766e-10,3.582503321429754012e-12
8.645440097805407563e-14,1.405986880822691670e-11,8.261419200311754807e-10,3.619180424205918503e-12
7.014199135311968084e-14,1.407479255685435329e-11,8.271715376636852112e-10,3.622883468624068003e-12
6.714648925236336018e-14,1.398283022140796923e-11,8.218862181413231543e-10,3.598788397881662084e-12
2.052396598728910595e-13,1.381231944160967596e-11,8.113810628019664927e-10,3.552684089145852837e-12
9.448563831874786263e-15,1.350633344749288527e-11,7.938624132157632412e-10,3.477915437264562485e-12
1.120285587783096171e-13,1.323635210671282133e-11,7.778824847115260472e-10,3.405704030031347704e-12
7.891911526262566164e-14,1.296397279451219356e-11,7.619519418455649526e-10,3.336257436985798498e-12
9.922039151167109094e-14,1.271919778059450571e-11,7.474098187775263487e-10,3.273265476105309248e-12
1.117688051182712591e-13,1.251858620836755117e-11,7.355504045805237384e-10,3.221508585539395817e-12
