# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Sensitivity Curve
nan,nan,nan,nan
7.381739975056007076e-17,7.095771532556458310e-14,4.172321634311722674e-12,1.826384740152160307e-14
1.795236795523898792e-16,7.043385788190655909e-14,4.141349403276222467e-12,1.812660542713183877e-14
3.854783627319487751e-16,7.001710256178497654e-14,4.114461059216835761e-12,1.802315199897493111e-14
1.027577010247331334e-15,6.947850520594302747e-14,4.081081750344345045e-12,1.787206441691821188e-14
5.760220349142322504e-16,6.839732497181879570e-14,4.019196388088940090e-12,1.760050747421603927e-14
7.247102674929788890e-16,6.667428193945213021e-14,3.917849811574088641e-12,1.715251513002757364e-14
6.656411947201103628e-16,6.425784717435571442e-14,3.775387226335624609e-12,1.653384595130723737e-14
3.689046934879921093e-16,6.141247750761470315e-14,3.609210436274599753e-12,1.580553440239690996e-14
9.147879163944226835e-16,5.843480785297596891e-14,3.432212436270840878e-12,1.503035421641531133e-14
6.177128722059904645e-16,5.542799437972553479e-14,3.256137995814489480e-12,1.426250957200932495e-14
6.168214977510171760e-16,5.265175284998274600e-14,3.093147910385073262e-12,1.354684984333356097e-14
8.971144314579185781e-16,5.019613164134663520e-14,2.947686400965363674e-12,1.291054162848740245e-14
7.056252901012256945e-16,4.804995485003310815e-14,2.821765527255092909e-12,1.236298063335784981e-14
1.007751534529225143e-15,4.642374178915846464e-14,2.725974577332105441e-12,1.193568070704369227e-14
8.098064529104995359e-16,4.502791733206733257e-14,2.644558368624209436e-12,1.157947265527604364e-14
5.137996759198949872e-16,4.384873917860225247e-14,2.575981140552451098e-12,1.128192936703828958e-14
7.772207176282073552e-16,4.289421284534527059e-14,2.518894164892979353e-12,1.103227677614826994e-14
7.456390050279576298e-16,4.207197158248703792e-14,2.470660006044467125e-12,1.082099833412583564e-14
1.726741511179780587e-16,4.134669024322325224e-14,2.430912480623992103e-12,1.063953058216355382e-14
4.859085275868603995e-16,4.073470599919002163e-14,2.393131110621639798e-12,1.048003230789875262e-14
7.638935116969481110e-16,4.018295738375635344e-14,2.359335471953506865e-12,1.033521488291986301e-14
8.300515086822507251e-16,3.966197481479582720e-14,2.328910207720815519e-12,1.019822504033478721e-14
4.149256251254292472e-16,3.912327471684395560e-14,2.299514178250830460e-12,1.006257388965397940e-14
9.332341835234651968e-16,3.858655664763051054e-14,2.265344771536551203e-12,9.919660764407193718e-15
9.118287106689693352e-16,3.795659910571462208e-14,2.228083387496308656e-12,9.759118857686308943e-15
1.050269581140869260e-15,3.730396767401909784e-14,2.189138870503107580e-12,9.589214193231082274e-15
8.438903396318979085e-16,3.655169095968235841e-14,2.145932891851804449e-12,9.397508036512441492e-15
9.183647112868655776e-16,3.570930873370573077e-14,2.096093551118167078e-12,9.179757942849002193e-15
7.524632776415247084e-16,3.473894226566141175e-14,2.039639647722621303e-12,8.932434281835136488e-15
8.207035853388794096e-16,3.365536185372072786e-14,1.975577053597140158e-12,8.652851536040957084e-15
8.152758016104096166e-16,3.244871036477519772e-14,1.905325313175070298e-12,8.339298705683393237e-15
8.328996703944976492e-16,3.109835687088107135e-14,1.825917457571527561e-12,7.991157779521225204e-15
6.777577654449874641e-16,2.959424367831071707e-14,1.737436698765980650e-12,7.608998414099688704e-15
5.461270685141692403e-16,2.798372277537578549e-14,1.643213050675437567e-12,7.196519905996206343e-15
5.754140349331991396e-16,2.633337846403144273e-14,1.546018533352794768e-12,6.771351703866957073e-15
5.993616825344818335e-16,2.473181287803317819e-14,1.451761578155040700e-12,6.358681217414118679e-15
7.077873933107603600e-16,2.321827590341704156e-14,1.362597184055938868e-12,5.966448666795948341e-15
4.433243552114771691e-16,2.191945432746991329e-14,1.287092030009966276e-12,5.636558168548262986e-15
7.458948231411142557e-16,2.093315225682149576e-14,1.227841115117531848e-12,5.378710330264502822e-15
6.209535913061140495e-16,2.015409625029691516e-14,1.182679345847777279e-12,5.179210708495231131e-15
3.657137391302013719e-16,1.954883826599033231e-14,1.148009066345551093e-12,5.027358112049366022e-15
4.154761876357441718e-16,1.911422438403834622e-14,1.122394833037244871e-12,4.914221408980993808e-15
4.415193481542928141e-16,1.879939038960613467e-14,1.103898289916808687e-12,4.832300625053458674e-15
5.637136001262480035e-16,1.858176698236023589e-14,1.090493015563698319e-12,4.775091799851536895e-15
7.607693996754909675e-16,1.844326586420686621e-14,1.081555125652896021e-12,4.736760505146613732e-15
5.404481104480544372e-16,1.833423006762055542e-14,1.075984426220786869e-12,4.711899182870391155e-15
5.438013777622653174e-16,1.827388756420719209e-14,1.072637726127673015e-12,4.695352631103313073e-15
6.250001410437685604e-16,1.822327723019261644e-14,1.069128047756743123e-12,4.682102344142022718e-15
5.058406151852512034e-16,1.816191019199322756e-14,1.066176872704631376e-12,4.667204696976203589e-15
6.290042660117481172e-16,1.807985376714616298e-14,1.060686746558069906e-12,4.645108884560205769e-15
